date;heure;NO2;O3
;;microg/m3;microg/m3
20/05/2008;5;34;36
20/05/2008;6;46;27
20/05/2008;7;49;29
20/05/2008;8;46;34
20/05/2008;9;45;42
20/05/2008;10;35;61
20/05/2008;11;29;80
20/05/2008;12;29;91
20/05/2008;13;26;99
20/05/2008;14;27;95
20/05/2008;15;22;104
20/05/2008;16;24;102
20/05/2008;17;25;102
20/05/2008;18;28;97
20/05/2008;19;30;93
20/05/2008;20;31;88
20/05/2008;21;29;86
20/05/2008;22;30;82
20/05/2008;23;32;73
20/05/2008;24;26;73
21/05/2008;1;23;69
21/05/2008;2;23;65
21/05/2008;3;28;56
21/05/2008;4;35;46
21/05/2008;5;52;29
21/05/2008;6;72;15
21/05/2008;7;78;20
21/05/2008;8;71;34
21/05/2008;9;55;59
21/05/2008;10;25;100
21/05/2008;11;17;110
21/05/2008;12;20;108
21/05/2008;13;21;114
21/05/2008;14;17;121
21/05/2008;15;19;120
21/05/2008;16;21;118
21/05/2008;17;24;112
21/05/2008;18;29;104
21/05/2008;19;29;100
21/05/2008;20;32;91
21/05/2008;21;35;84
21/05/2008;22;32;85
21/05/2008;23;44;66
21/05/2008;24;46;63
22/05/2008;1;36;70
22/05/2008;2;27;75
22/05/2008;3;31;62
22/05/2008;4;47;43
22/05/2008;5;76;14
22/05/2008;6;92;6
22/05/2008;7;75;17
22/05/2008;8;73;22
22/05/2008;9;46;49
22/05/2008;10;34;69
22/05/2008;11;29;83
22/05/2008;12;25;95
22/05/2008;13;23;103
22/05/2008;14;22;109
22/05/2008;15;26;103
22/05/2008;16;36;96
22/05/2008;17;30;100
22/05/2008;18;31;98
22/05/2008;19;27;101
22/05/2008;20;25;97
22/05/2008;21;32;77
22/05/2008;22;42;62
22/05/2008;23;43;60
22/05/2008;24;43;54
23/05/2008;1;28;70
23/05/2008;2;27;61
23/05/2008;3;31;54
23/05/2008;4;43;39
23/05/2008;5;64;17
23/05/2008;6;78;11
23/05/2008;7;70;22
23/05/2008;8;58;38
23/05/2008;9;39;69
23/05/2008;10;21;95
23/05/2008;11;18;102
23/05/2008;12;17;108
23/05/2008;13;18;106
23/05/2008;14;n/d;n/d
23/05/2008;15;n/d;n/d
23/05/2008;16;n/d;n/d
23/05/2008;17;n/d;n/d
23/05/2008;18;n/d;n/d
23/05/2008;19;n/d;n/d
23/05/2008;20;n/d;n/d
23/05/2008;21;n/d;n/d
23/05/2008;22;n/d;n/d
23/05/2008;23;n/d;n/d
23/05/2008;24;n/d;n/d
24/05/2008;1;n/d;n/d
24/05/2008;2;n/d;n/d
24/05/2008;3;n/d;n/d
24/05/2008;4;n/d;n/d
24/05/2008;5;n/d;n/d
24/05/2008;6;n/d;n/d
24/05/2008;7;n/d;n/d
24/05/2008;8;n/d;n/d
24/05/2008;9;n/d;n/d
24/05/2008;10;n/d;n/d
24/05/2008;11;n/d;n/d
24/05/2008;12;n/d;n/d
24/05/2008;13;n/d;n/d
24/05/2008;14;n/d;n/d
24/05/2008;15;n/d;n/d
24/05/2008;16;n/d;n/d
24/05/2008;17;n/d;n/d
24/05/2008;18;n/d;n/d
24/05/2008;19;n/d;n/d
24/05/2008;20;n/d;n/d
24/05/2008;21;n/d;n/d
24/05/2008;22;n/d;n/d
24/05/2008;23;n/d;n/d
24/05/2008;24;n/d;n/d
25/05/2008;1;n/d;n/d
25/05/2008;2;n/d;n/d
25/05/2008;3;n/d;n/d
25/05/2008;4;n/d;n/d
25/05/2008;5;n/d;n/d
25/05/2008;6;n/d;n/d
25/05/2008;7;n/d;n/d
25/05/2008;8;n/d;n/d
25/05/2008;9;n/d;n/d
25/05/2008;10;n/d;n/d
25/05/2008;11;n/d;n/d
25/05/2008;12;n/d;n/d
